Model,Params,Accuracy (%),Sensitivity (%),Specificity (%),F1-Score (%),AUC (%)
Teacher (Ensemble V1+V2),"139,389,474",87.4,76.18,92.65,79.41,93.97
"Student (KD, threshold=0.48)","457,442",82.98453139217472,61.76890156918687,92.9191716766867,69.83870967741936,90.26307488967473
