Model,Params,Accuracy (%),Sensitivity (%),Specificity (%),AUC (%)
Teacher (V1+V2),"139,389,474",87.4,76.18,92.65,93.97
Student (KD),"457,442",82.07461328480437,77.88873038516405,84.03473613894455,90.26307488967473
