epoch,train_loss,lr,val_accuracy,val_sensitivity,val_specificity,val_f1,val_auc
1,0.5181854193363714,0.00022524999999999995,78.10352725606963,70.58823529411765,81.50365934797072,66.75938803894297,85.39059136628703
2,0.4346558335997643,7.575000000000001e-05,79.70682546953734,54.85294117647059,90.95143047238855,62.74179983179142,86.16003287542561
3,0.40195292373862834,0.0003,78.51580393953276,83.38235294117646,76.3140385894877,70.74235807860262,87.86896794646002
4,0.4161943769509639,0.0002799707978657736,74.62207970682547,89.41176470588235,67.93080505655357,68.70056497175142,87.91113850729914
5,0.4030454428370939,0.00022524999999999995,81.72240036646816,67.79411764705883,88.02395209580838,69.79560938682816,87.73462878165239
6,0.386949000746832,0.00015049999999999997,81.539166284929,79.11764705882354,82.63473053892216,72.75185936443543,88.75092951352197
7,0.37347755779366976,7.575000000000001e-05,83.00503893724233,72.20588235294117,87.89088489687292,72.57945306725794,89.19631325584126
8,0.3612452276256106,2.102920213422641e-05,83.00503893724233,76.91176470588235,85.76180971390552,73.81792519407199,89.83180697428672
9,0.35430897783248794,0.0003,82.638570774164,80.73529411764706,83.49966733200266,74.33987813134732,89.86712848812179
10,0.3838754687013976,0.00029490591103021566,81.26431516262025,82.20588235294117,80.83832335329342,73.21545514079895,89.35266721459043
11,0.3786705706097664,0.0002799707978657736,81.58497480531379,79.11764705882354,82.70126413838989,72.80108254397835,89.08839184376347
12,0.3728058581231931,0.00025621246378738883,83.1424644983967,78.52941176470588,85.22954091816368,74.3732590529248,89.51469609800007
13,0.3665615622056734,0.00022524999999999995,82.73018781493357,78.52941176470588,84.63073852295409,73.91003460207612,89.95235020155766
14,0.3645618515003712,0.00018919344724282683,83.00503893724233,70.58823529411765,88.62275449101796,72.12622088655147,89.9834644436617
15,0.3575576657275541,0.00015049999999999997,83.27989005955108,76.17647058823529,86.49367930805056,73.94718058529622,89.99315095299598
16,0.34913494636159426,0.00011180655275717314,82.0430600091617,83.97058823529412,81.17099135063206,74.44589308996089,90.21432624946186
17,0.3480510027583586,7.575000000000001e-05,83.64635822262942,80.58823529411765,85.02994011976048,75.4301445285616,90.27043951313061
18,0.34041038874639284,4.478753621261114e-05,83.92120934493816,76.76470588235294,87.15901530272788,74.83870967741936,90.49831709130758
19,0.3336548572559969,2.102920213422641e-05,84.24186898763169,79.26470588235294,86.49367930805056,75.80872011251758,90.51064537591483
20,0.33349843982162825,6.0940889697843025e-06,84.01282638570774,79.11764705882354,86.22754491017965,75.50877192982456,90.74468709639545
